Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
cosmetics,SKU114,55.14656025103503,92,996,4864.833525122769,Unknown,88,18,22,5,Carrier C,5.771754472042565,Supplier 4,Chennai,12,666,3,35.909013037494184,Pass,4.546982419830596,Rail,Route B,203.69330420569867
skincare,SKU115,1.6999760138659377,64,701,9076.41917663203,Female,100,21,84,7,Carrier C,9.92981624527726,Supplier 4,Delhi,30,694,12,22.51401949460469,Pending,0.74072120304825,Air,Route A,608.1052622023909
skincare,SKU116,78.4387180020847,63,473,3188.7174042400643,Non-binary,60,11,7,2,Carrier C,2.458257561404416,Supplier 4,Chennai,8,697,24,50.911679774191725,Pass,4.43745881692111,Rail,Route A,455.15344003673147
skincare,SKU117,52.18017031776591,53,614,6148.2397807201705,Non-binary,0,4,22,8,Carrier C,4.69590340228253,Supplier 2,Chennai,9,331,7,35.8288586900211,Fail,2.701152401063177,Rail,Route A,486.5098504840565
haircare,SKU118,1.6999760138659377,62,701,2607.9663529197833,Male,0,27,38,9,Carrier A,5.202377263402641,Supplier 3,Kolkata,1,190,20,71.41574899246282,Pass,2.606423354696733,Road,Route A,503.76266115215276
haircare,SKU119,82.30650511933362,35,21,4198.3627749208745,Male,18,16,58,6,Carrier A,8.72258118354523,Supplier 2,Kolkata,11,814,16,28.256135161790105,Pass,2.253653969946201,Rail,Route B,760.2315770748273
skincare,SKU120,31.50254058711056,60,606,9866.465457979695,Male,47,12,74,10,Carrier B,8.70698518885772,Supplier 3,Bangalore,13,652,29,18.568059952849712,Pass,2.1488268440695486,Road,Route C,227.94088471968155
haircare,SKU121,20.62684046568149,34,639,8641.821882239736,Unknown,26,26,64,5,Carrier A,6.606837531243515,Supplier 3,Chennai,10,590,10,96.29991082894557,Fail,2.092557997533608,Rail,Route A,521.6960434035453
skincare,SKU122,36.97770317014325,79,207,7040.1006621389715,Male,51,7,23,5,Carrier A,4.435316799543047,Supplier 1,Chennai,12,490,20,18.703416230833305,Pass,4.939255288620948,Air,Route B,650.4391002072177
haircare,SKU123,68.84807291837686,52,178,5014.881068045644,Female,4,30,50,9,Carrier A,6.255181282279511,Supplier 5,Bangalore,21,508,6,20.445365583198893,Pending,1.4949009269786129,Rail,Route A,414.2557722461652
cosmetics,SKU124,38.193230070435234,2,450,6651.170629358743,Unknown,62,8,41,6,Carrier A,1.0134865660958965,Supplier 1,Mumbai,28,104,18,72.5350866936812,Fail,1.612780866808548,Air,Route B,367.51769266434144
cosmetics,SKU125,74.82469764418853,53,147,2209.8010789409645,Female,0,10,42,5,Carrier B,5.326265830049447,Supplier 2,Mumbai,22,674,14,78.73011140575491,Pending,2.7965793344223018,Sea,Route C,583.3072256271356
skincare,SKU126,12.912392380320618,60,782,8854.530981852202,Non-binary,67,23,87,2,Carrier A,4.58145410379237,Supplier 2,Bangalore,20,439,1,80.30826799739515,Pending,1.1592550010819027,Sea,Route B,651.9380232066164
skincare,SKU127,13.934606489019444,46,570,5922.574022188696,Female,21,9,96,5,Carrier B,5.585280643166278,Supplier 1,Chennai,18,458,19,31.118448885592183,Pass,4.6261447742041595,Sea,Route A,997.4134501331946
haircare,SKU128,28.58012908762974,71,378,9866.465457979695,Unknown,22,24,84,8,Carrier B,1.3170131531213745,Supplier 4,Chennai,15,460,7,95.1049862075132,Fail,0.9749364329401495,Air,Route A,578.5022190074349
skincare,SKU129,31.646580773804452,35,824,6936.638350367682,Male,79,30,46,6,Carrier C,7.276924493983608,Supplier 4,Mumbai,13,417,19,4.021531290980619,Fail,3.4903204447805605,Air,Route C,355.04187599613897
cosmetics,SKU130,76.86117166578222,24,907,5238.12323976906,Unknown,66,8,51,6,Carrier C,7.245039384271063,Supplier 2,Chennai,25,716,15,46.15137704378989,Pass,4.4755684538458596,Rail,Route A,854.4041480373235
cosmetics,SKU131,1.6999760138659377,60,597,5313.6229750522225,Male,83,25,57,2,Carrier A,2.222258581193993,Supplier 5,Bangalore,7,532,14,78.79693425240852,Pending,3.5365976307312574,Road,Route C,470.9918288193965
haircare,SKU132,77.52688784379652,36,290,1061.618523013288,Unknown,26,16,96,5,Carrier A,8.035269367082153,Supplier 2,Chennai,18,822,30,49.11536243631799,Pending,0.0186075676310149,Sea,Route A,752.5446825018813
skincare,SKU133,35.663294594813095,36,536,5033.400801520726,Male,70,14,59,10,Carrier B,6.3432082605872715,Supplier 4,Mumbai,14,434,8,78.7761946760395,Fail,0.6095673500542174,Air,Route A,714.3051333075716
skincare,SKU134,51.90099376855004,89,286,2700.5850520675967,Unknown,3,23,71,4,Carrier B,8.363593126620316,Supplier 2,Mumbai,25,639,1,1.0850685695870688,Fail,0.0186075676310149,Road,Route B,664.7425629047509
skincare,SKU135,92.52947558374953,26,846,5234.267763572395,Male,36,24,33,4,Carrier A,7.335560988762072,Supplier 5,Chennai,23,510,27,44.04338088386723,Fail,0.7581854594803117,Sea,Route A,708.0272232132572
skincare,SKU136,75.22155478903157,34,438,6431.031158353926,Unknown,82,6,74,4,Carrier A,7.447825210816481,Supplier 4,Kolkata,30,514,1,52.16282098964615,Pass,4.939255288620948,Road,Route A,516.0164630351838
skincare,SKU137,3.7958604610018014,43,665,7550.883013238822,Female,65,25,75,4,Carrier B,4.075252326960099,Supplier 3,Delhi,30,667,21,9.316395970002766,Pending,1.788620834567529,Road,Route A,412.38899197135834
haircare,SKU138,3.8968992931406916,6,996,5791.654668977185,Non-binary,100,14,54,5,Carrier B,7.905658724895439,Supplier 1,Kolkata,29,693,4,47.44075064794172,Pending,1.7327134594375098,Rail,Route B,817.6272797593793
haircare,SKU139,55.9720742134107,34,8,6635.915131958841,Male,100,14,44,3,Carrier B,7.577164714829399,Supplier 4,Delhi,26,716,1,42.9754702315762,Fail,2.343809307552851,Rail,Route A,256.47003653463275
haircare,SKU140,62.65096393259405,56,645,9866.465457979695,Unknown,43,13,11,7,Carrier A,1.0134865660958965,Supplier 4,Delhi,4,453,3,43.42080066658659,Pending,2.7390809218191254,Road,Route A,423.27683350951173
skincare,SKU141,6.80774249255871,79,252,1625.493256109502,Female,70,27,71,6,Carrier C,2.582376739961537,Supplier 4,Mumbai,14,686,15,54.70589345592519,Fail,0.642638105200124,Rail,Route B,506.619447791921
cosmetics,SKU142,1.6999760138659377,38,210,3565.8569871070376,Unknown,100,8,34,7,Carrier C,4.858229661185878,Supplier 1,Bangalore,19,322,9,69.5616485423011,Pending,3.2383577670956494,Road,Route A,547.6019602249602
cosmetics,SKU143,43.49728475133864,46,489,9326.825457482837,Female,34,1,46,3,Carrier C,3.2304847309174063,Supplier 5,Kolkata,22,459,8,33.329834384407356,Pending,1.3048048888893575,Rail,Route B,676.6946130067188
haircare,SKU144,71.95473314931098,3,303,7055.358117027178,Non-binary,18,8,39,7,Carrier A,2.4383643442973253,Supplier 3,Mumbai,26,480,22,30.747843192864714,Pass,1.7692386671526688,Sea,Route B,457.00547076040453
skincare,SKU145,99.1713286386242,72,644,9079.728924658426,Non-binary,41,24,59,5,Carrier B,1.0134865660958965,Supplier 5,Kolkata,19,265,27,89.25901461010068,Fail,1.9788939002738657,Road,Route B,576.3696882865307
haircare,SKU146,45.8254642343404,71,996,4341.357397317394,Male,43,11,46,7,Carrier A,2.9256318464604822,Supplier 2,Kolkata,29,104,17,41.86051504532979,Pending,3.2666693774941153,Air,Route B,431.46258763405115
cosmetics,SKU147,63.268904164085214,100,705,6978.9720478465015,Male,62,24,57,4,Carrier B,3.498387240460544,Supplier 1,Kolkata,12,781,5,28.91630730437056,Fail,1.7781221815264319,Rail,Route A,550.8176000739331
skincare,SKU148,21.945226773993106,1,652,3498.985930314592,Unknown,65,4,24,6,Carrier B,9.92981624527726,Supplier 4,Mumbai,24,117,1,85.3603972937829,Pending,0.2262937957237119,Sea,Route A,573.9773832144482
cosmetics,SKU149,35.6117922433677,51,889,5313.146864604584,Male,3,16,67,7,Carrier C,3.245697080799424,Supplier 4,Bangalore,30,557,16,42.66929826296429,Fail,2.299259326769473,Rail,Route B,103.91624796070496
haircare,SKU150,86.47653810676434,57,222,6519.317339575595,Unknown,1,30,44,6,Carrier C,5.9429414573348645,Supplier 5,Delhi,8,350,15,62.110065201842865,Fail,2.0994740949398185,Air,Route A,721.3009685496659
haircare,SKU151,18.32673179937703,100,109,8548.580471817673,Male,100,16,76,6,Carrier A,8.99770431257341,Supplier 2,Chennai,7,540,15,1.0850685695870688,Pass,2.550934097421966,Air,Route B,611.9140340732694
skincare,SKU152,67.73332998347976,64,268,5185.2611649646715,Unknown,25,7,70,6,Carrier C,6.496224657875048,Supplier 2,Mumbai,12,544,27,63.7593350429136,Fail,1.470017982953268,Air,Route B,585.2389510487669
haircare,SKU153,60.065280041555866,58,600,6386.0348212568315,Unknown,54,23,96,2,Carrier C,5.50993829842589,Supplier 4,Kolkata,9,503,20,71.4939539715747,Pending,0.9238915201481708,Rail,Route C,103.91624796070496
haircare,SKU154,42.31575716913826,83,452,5550.694211113501,Unknown,48,21,96,5,Carrier C,9.097763547734907,Supplier 4,Mumbai,16,480,21,34.23349486264022,Fail,3.0262147138094413,Road,Route C,391.81489281917766
haircare,SKU155,54.86845044903361,1,257,4557.800011396608,Unknown,16,15,92,6,Carrier C,1.4907274914979904,Supplier 3,Kolkata,11,524,19,62.49943326317144,Fail,2.7486645016466213,Air,Route A,598.9710887827771
cosmetics,SKU156,35.31643356082377,62,744,5777.407480400394,Unknown,64,12,62,5,Carrier B,3.8381450986681585,Supplier 1,Chennai,30,437,30,85.28549931484704,Pass,2.500632672169051,Rail,Route A,185.55025345076416
skincare,SKU157,99.1713286386242,87,318,1061.618523013288,Male,84,30,1,10,Carrier A,2.36343245373147,Supplier 3,Chennai,6,528,6,54.92204104002712,Fail,3.845702193855254,Rail,Route A,499.47532653087006
cosmetics,SKU158,48.99787253073861,26,672,5339.286199336712,Male,93,13,58,3,Carrier B,1.094458808218718,Supplier 2,Kolkata,14,677,27,41.17397214853624,Fail,2.0292119519779384,Sea,Route B,731.2972282423693
haircare,SKU159,26.4878359286053,67,858,9866.465457979695,Non-binary,42,16,38,8,Carrier A,8.442761861635493,Supplier 4,Kolkata,21,417,7,96.36845981666289,Pass,1.8400460327677952,Sea,Route C,720.4097982691618
haircare,SKU160,81.97285392416401,30,716,3482.0077603638542,Unknown,54,22,39,2,Carrier C,8.705598078079284,Supplier 4,Bangalore,16,331,10,99.46610860359912,Fail,4.55670825820475,Air,Route C,555.6530379132922
skincare,SKU161,19.862979810706555,3,533,7727.430610081224,Unknown,43,28,81,2,Carrier B,7.417320390461152,Supplier 1,Mumbai,12,613,30,81.99571089138547,Pending,3.0746241084298727,Sea,Route B,823.7846124018643
haircare,SKU162,3.7482024984026694,33,154,3359.4305318516363,Unknown,82,25,56,3,Carrier B,9.92981624527726,Supplier 2,Kolkata,10,751,13,55.7147826699545,Pass,0.0186075676310149,Air,Route C,513.3333528892193
cosmetics,SKU163,46.232953281149086,51,661,6004.3531947256215,Unknown,70,27,84,4,Carrier B,7.1101178237439155,Supplier 2,Mumbai,30,919,14,69.3192046922671,Fail,4.337640683744038,Air,Route B,339.23705177272745
cosmetics,SKU164,61.78630000321574,45,958,5272.741689659902,Female,11,25,40,1,Carrier B,4.039236750960635,Supplier 4,Chennai,15,493,30,27.587132589587927,Pending,3.0434232310079703,Rail,Route A,485.669458818314
skincare,SKU165,18.90725320923707,1,449,7970.586219619423,Non-binary,36,25,70,5,Carrier A,3.0489418912017117,Supplier 3,Mumbai,26,272,10,28.92303916825913,Fail,4.0158858232565064,Sea,Route B,762.2425538995842
skincare,SKU166,83.02114072120796,18,921,9848.984814982054,Female,2,20,96,4,Carrier C,1.9172070916152206,Supplier 3,Chennai,12,985,16,65.51535795768106,Pass,4.9057214937567775,Air,Route C,744.4079890063795
skincare,SKU167,61.65189620955556,20,656,9866.465457979695,Unknown,0,11,58,5,Carrier A,9.92981624527726,Supplier 4,Mumbai,16,328,17,58.97994421271206,Pending,3.743897018445378,Rail,Route B,763.2142768954245
haircare,SKU168,64.5665218642838,77,123,3095.0032175718916,Female,45,17,55,4,Carrier B,9.92981624527726,Supplier 3,Mumbai,25,757,18,35.74005463425813,Pass,0.7398801150830514,Rail,Route A,859.9465035671817
haircare,SKU169,75.49794914158844,70,632,3922.091415452587,Female,0,15,1,5,Carrier B,8.97714634627921,Supplier 1,Bangalore,9,565,19,11.848746493286626,Pass,1.135088778328985,Rail,Route B,527.0011606762977
skincare,SKU170,1.6999760138659377,78,571,9866.465457979695,Male,9,20,7,2,Carrier B,5.13043628697231,Supplier 3,Chennai,22,547,18,99.46610860359912,Pending,2.362978571905504,Road,Route A,878.5026803560149
skincare,SKU171,25.25447363080071,100,217,7537.240062429226,Unknown,5,22,64,5,Carrier B,5.685033534019367,Supplier 1,Bangalore,8,937,30,4.1523423318515,Pending,4.939255288620948,Road,Route B,921.8635519402605
skincare,SKU172,50.01028336955319,41,145,7234.781840096407,Unknown,72,1,52,5,Carrier B,7.721005817396749,Supplier 3,Chennai,11,705,24,15.028643505002698,Fail,3.2956395979660744,Sea,Route B,883.6323138053144
skincare,SKU173,37.04534031416301,19,900,9462.0114647894,Non-binary,83,12,96,9,Carrier B,7.347440401263043,Supplier 3,Delhi,30,307,8,43.75355295640189,Pending,3.066905608951078,Sea,Route C,609.018334633849
haircare,SKU174,78.20229168981028,100,359,1061.618523013288,Male,100,10,53,1,Carrier B,4.851099259811058,Supplier 1,Kolkata,7,358,18,99.46610860359912,Pending,1.524138371694971,Road,Route A,701.8134744498393
cosmetics,SKU175,86.47844441196641,83,318,6374.373896904683,Non-binary,43,19,43,8,Carrier A,9.92981624527726,Supplier 2,Chennai,15,306,16,10.36882872815898,Pending,1.8392299454353755,Air,Route A,741.1361276904212
skincare,SKU176,61.79459855797816,45,308,7161.276550146762,Male,18,10,11,10,Carrier C,8.776210380390463,Supplier 2,Bangalore,20,158,19,1.0850685695870688,Fail,0.9636626774050441,Road,Route B,573.6788411787201
haircare,SKU177,73.15955877967139,75,24,3278.369487404631,Non-binary,54,8,1,5,Carrier B,1.985884585055497,Supplier 3,Mumbai,30,717,27,66.4633133468561,Pass,2.3509856074726057,Sea,Route B,676.7205392608321
haircare,SKU178,46.20847112619319,72,221,6319.495268799798,Female,67,14,61,8,Carrier B,4.282469344820233,Supplier 5,Kolkata,9,445,14,21.008624407969364,Fail,2.8082596603036745,Sea,Route B,778.7779056422746
skincare,SKU179,29.073680874557205,65,672,3627.2862664372533,Non-binary,36,18,28,6,Carrier B,8.216058721585172,Supplier 4,Mumbai,19,104,28,61.068016360238346,Pending,0.7632143864769887,Rail,Route A,649.9759396941572
haircare,SKU180,22.20952719363123,94,383,5436.397658206831,Unknown,38,27,54,5,Carrier A,9.92981624527726,Supplier 1,Kolkata,21,292,14,31.39862373560802,Pending,4.939255288620948,Rail,Route C,697.4975635739779
skincare,SKU181,1.6999760138659377,23,112,2325.443600038382,Male,24,19,34,2,Carrier A,5.962163587442222,Supplier 1,Delhi,12,726,7,38.253282039262466,Fail,3.751202172146076,Rail,Route B,428.95666225282196
haircare,SKU182,58.383801349492245,46,628,5813.12212995907,Non-binary,32,8,32,1,Carrier C,2.165680731525903,Supplier 2,Mumbai,12,903,9,72.19842913922449,Pass,3.756806978337703,Rail,Route B,885.306446959016
skincare,SKU183,80.15682296255368,19,411,8801.905754944179,Male,72,18,51,10,Carrier B,5.283823191383231,Supplier 2,Mumbai,28,556,19,68.99717279621943,Fail,3.9419500902978744,Sea,Route A,682.6722340077356
haircare,SKU184,80.0919736995425,56,597,3808.368346685904,Female,42,1,58,4,Carrier B,5.257807597485995,Supplier 2,Delhi,10,321,15,3.223818247470554,Pending,1.8897862065540714,Rail,Route B,437.8898124634689
haircare,SKU185,70.9112061540169,39,183,7992.729785355961,Male,39,9,90,7,Carrier C,3.497031632044813,Supplier 4,Delhi,5,272,8,37.492042798408036,Fail,2.3216034246248016,Rail,Route B,997.4134501331946
haircare,SKU186,19.449858603744126,41,676,5264.75825452954,Male,57,16,54,5,Carrier B,9.47892956579481,Supplier 2,Delhi,8,104,15,55.81062029752661,Pending,2.185184455110026,Road,Route B,103.91624796070496
haircare,SKU187,99.1713286386242,15,921,7310.214594975011,Unknown,0,12,52,4,Carrier B,7.948014113600923,Supplier 1,Bangalore,13,697,14,84.31350878810615,Fail,4.854727381700689,Air,Route B,469.0167045663172
haircare,SKU188,41.49048570532767,100,578,2954.751865459789,Female,47,9,38,3,Carrier B,2.7776561066488354,Supplier 4,Bangalore,9,651,17,58.45756661621736,Fail,3.7041955995234157,Road,Route C,858.5561684223744
skincare,SKU189,85.59627492054639,65,397,9866.465457979695,Unknown,61,20,6,9,Carrier B,5.409403321392996,Supplier 2,Bangalore,22,535,11,50.8141816000571,Fail,4.939255288620948,Rail,Route A,573.0749215657424
haircare,SKU190,30.470082368038867,41,372,9866.465457979695,Female,60,30,81,3,Carrier C,9.92981624527726,Supplier 4,Bangalore,18,660,1,31.88842859186458,Pass,4.078740637836615,Rail,Route A,253.85788977300183
skincare,SKU191,1.6999760138659377,59,807,4622.736929828776,Male,55,16,46,7,Carrier C,6.588071213973274,Supplier 5,Mumbai,25,621,23,99.17039882438525,Pass,1.2396507775178358,Road,Route B,667.6525439276672
skincare,SKU192,52.141523250534846,84,288,6736.727265355009,Non-binary,5,18,65,8,Carrier A,9.92981624527726,Supplier 2,Chennai,21,465,19,45.874762564691906,Fail,2.5885718554182113,Rail,Route B,256.6589446861614
skincare,SKU193,34.44594968169595,36,457,9323.591410176996,Unknown,59,30,51,5,Carrier A,4.048098427065438,Supplier 3,Bangalore,14,612,4,99.46610860359912,Pending,0.08355044651403665,Rail,Route C,555.2434053563454
haircare,SKU194,35.20635395226314,98,8,9866.465457979695,Female,0,1,96,1,Carrier C,7.4998724503394145,Supplier 5,Bangalore,22,136,13,23.29793934959718,Fail,2.3541044012757397,Air,Route A,582.246916653552
cosmetics,SKU195,67.61125587945594,36,189,6139.19155733514,Non-binary,63,14,1,6,Carrier A,4.819335990412372,Supplier 4,Bangalore,13,489,20,82.20725230311629,Pass,2.8196157656804175,Rail,Route C,566.1714438763453
haircare,SKU196,72.39557340684823,32,585,4723.46872033731,Unknown,46,20,70,1,Carrier B,8.535561515850674,Supplier 4,Delhi,23,632,25,3.0269705284466895,Pass,1.239480843898752,Rail,Route A,609.5647059270361
haircare,SKU197,62.46336498920698,28,600,6811.67376212437,Non-binary,53,17,72,3,Carrier C,1.0134865660958965,Supplier 5,Kolkata,9,602,1,1.0850685695870688,Pending,2.1560017826095828,Rail,Route B,571.7168968833531
skincare,SKU198,73.87820071033003,66,480,5791.695583004833,Non-binary,42,30,30,8,Carrier B,3.5866336341604783,Supplier 3,Mumbai,14,312,26,21.973956882108375,Pending,3.164183843275609,Rail,Route C,444.73164597213963
haircare,SKU199,55.92364642245167,50,416,1333.577182283856,Female,58,7,47,6,Carrier C,1.6229135068097653,Supplier 2,Delhi,4,881,5,1.0850685695870688,Pending,0.0186075676310149,Air,Route A,635.5684054984175
haircare,SKU200,23.440049772464675,1,82,4028.7232428636908,Female,0,16,96,9,Carrier C,5.825435456242865,Supplier 1,Chennai,30,428,13,70.9452676420065,Pending,1.515773936727122,Air,Route C,545.720582165386
cosmetics,SKU201,54.32866188346761,24,754,6501.7500850858005,Male,36,1,15,7,Carrier B,9.395758880933698,Supplier 1,Chennai,7,492,5,93.69705728225497,Pending,3.8550775106512356,Rail,Route A,611.7808994537189
haircare,SKU202,31.523196387573602,100,996,5907.829227821993,Female,37,12,1,6,Carrier C,1.0134865660958965,Supplier 2,Bangalore,16,667,4,26.638513688013717,Fail,0.7128361099994498,Rail,Route B,322.9513478950122
haircare,SKU203,23.25016863592784,73,996,6047.339505223094,Female,30,1,50,5,Carrier B,1.7269061870615996,Supplier 4,Kolkata,12,985,18,26.933321895445957,Pending,3.7455216011371504,Road,Route C,358.02349886461104
skincare,SKU204,1.6999760138659377,7,188,9866.465457979695,Male,100,16,89,8,Carrier B,5.788734722789027,Supplier 4,Delhi,9,857,6,49.83674229816699,Pending,1.6655284664768715,Rail,Route B,827.9007255559225
haircare,SKU205,1.6999760138659377,84,586,6295.99815389897,Female,47,15,30,7,Carrier A,1.3818284285793547,Supplier 2,Mumbai,21,117,18,99.46610860359912,Pending,1.4720564075986569,Air,Route A,547.7177605401996
haircare,SKU206,42.51382095281265,24,389,8308.678896974818,Unknown,40,11,34,8,Carrier C,4.670376786832138,Supplier 1,Mumbai,14,561,14,32.5942020903214,Pass,4.939255288620948,Air,Route C,852.2710610306847
haircare,SKU207,85.60914493734623,43,750,8902.445964370369,Female,66,22,16,5,Carrier B,4.527841383716393,Supplier 5,Mumbai,23,494,3,63.161439216912555,Fail,3.0863568083760646,Rail,Route C,493.14256892837454
cosmetics,SKU208,32.91494479061289,56,400,6608.314845753315,Unknown,27,17,83,8,Carrier C,2.93327970006727,Supplier 4,Mumbai,16,549,18,1.0850685695870688,Fail,2.422423261816383,Air,Route A,569.5501212766757
skincare,SKU209,40.23799686907023,36,419,7209.169558448097,Non-binary,38,14,39,6,Carrier A,5.683808264023305,Supplier 2,Mumbai,18,569,13,99.46610860359912,Pending,1.7023115721142252,Road,Route B,456.4538959738626
haircare,SKU210,54.896293811856005,78,819,3036.6536020832327,Non-binary,26,19,21,5,Carrier C,6.232661730938496,Supplier 4,Chennai,24,506,17,62.23831680400215,Pass,0.0186075676310149,Rail,Route C,977.7740630973665
skincare,SKU211,99.1713286386242,50,342,3109.3749628167966,Unknown,42,30,56,8,Carrier A,2.8704470840062863,Supplier 2,Chennai,9,533,10,1.0850685695870688,Fail,1.4926287497183834,Road,Route B,554.8541275633427
skincare,SKU212,47.057457293878166,28,675,6477.381870482428,Unknown,37,2,84,6,Carrier B,9.92981624527726,Supplier 3,Mumbai,23,722,12,49.349794858266904,Pass,3.3950200847922516,Road,Route A,687.6680066414759
skincare,SKU213,1.6999760138659377,61,252,7488.694408611019,Non-binary,80,19,43,10,Carrier C,3.4972350579459297,Supplier 5,Kolkata,15,555,14,56.26528139874605,Pending,3.181357089744564,Road,Route A,705.2746052927057
skincare,SKU214,19.479500510753287,25,374,7711.592794810174,Male,0,26,96,4,Carrier B,2.5559083497860478,Supplier 1,Mumbai,26,719,30,43.49799099431104,Pass,1.4606421968577128,Rail,Route A,371.97180651239137
haircare,SKU215,40.81919902586918,41,338,6012.167937583008,Unknown,23,30,54,5,Carrier C,4.995036016973458,Supplier 4,Chennai,30,104,23,51.045403381792816,Pending,1.3416341683616586,Air,Route B,894.4010419274373
haircare,SKU216,32.50413096329374,29,432,4045.188375746173,Male,70,8,24,6,Carrier A,9.626730230615632,Supplier 3,Chennai,5,959,21,1.0850685695870688,Fail,3.9878587806686707,Road,Route C,424.2798313855195
skincare,SKU217,48.216650172660465,46,273,8474.866394816941,Unknown,41,23,33,3,Carrier B,6.755262244952194,Supplier 1,Kolkata,21,769,11,1.0850685695870688,Pending,2.415807231701359,Air,Route B,841.4982412135205
skincare,SKU218,24.455472857845635,50,8,2621.7189236934387,Female,2,22,58,7,Carrier A,6.678840905239831,Supplier 4,Chennai,12,871,23,49.376146345969644,Pending,0.0186075676310149,Road,Route A,603.2371725029161
cosmetics,SKU219,25.556127087217032,64,646,4320.188853664252,Female,40,18,1,5,Carrier B,7.260657074605161,Supplier 4,Mumbai,29,839,1,5.438346479564089,Pending,2.8227047157233196,Air,Route A,103.91624796070496
haircare,SKU220,28.239629195834137,24,626,6702.457261395764,Non-binary,75,15,60,9,Carrier C,8.133197376390914,Supplier 2,Delhi,19,510,23,97.41694573256443,Pending,1.6151332396788942,Road,Route B,189.24250388377686
cosmetics,SKU221,56.93146745635358,54,338,4397.017284447486,Non-binary,66,1,73,1,Carrier C,1.0134865660958965,Supplier 4,Bangalore,14,647,6,1.0850685695870688,Pass,0.0186075676310149,Rail,Route B,983.6561817529009
haircare,SKU222,38.548389280418704,27,867,7641.361508090388,Unknown,72,30,60,10,Carrier C,9.706552930306476,Supplier 3,Bangalore,23,730,24,78.42803956412783,Pass,1.2711193970875674,Sea,Route A,592.4399347604559
